NumOrden,Obser,Hor_Ini,Hor_Fin
RF-002424912,"No fue posible realizar la navegacion de RF-002424912. Se requiere una segunda subida o revision manual.",21:11:11,21:11:23
RF-002435207,"No fue posible realizar la navegacion de RF-002435207. Se requiere una segunda subida o revision manual.",21:15:53,21:16:06
RF-002448350,"No fue posible realizar la navegacion de RF-002448350. Se requiere una segunda subida o revision manual.",21:19:09,21:19:21
RF-002420929,"No fue posible realizar la navegacion de RF-002420929. Se requiere una segunda subida o revision manual.",21:21:59,21:22:12
RF-002428997,"No fue posible realizar la navegacion de RF-002428997. Se requiere una segunda subida o revision manual.",21:22:47,21:22:59
RF-002426915,"No fue posible realizar la navegacion de RF-002426915. Se requiere una segunda subida o revision manual.",21:23:45,21:23:57
RM-000168080,"No fue posible realizar la navegacion de RM-000168080. Se requiere una segunda subida o revision manual.",21:27:49,21:28:01
RF-002439429,"No fue posible realizar la navegacion de RF-002439429. Se requiere una segunda subida o revision manual.",21:35:18,21:35:30
RF-002438472,"No fue posible realizar la navegacion de RF-002438472. Se requiere una segunda subida o revision manual.",21:37:16,21:37:26
RF-002430577,"No fue posible realizar la navegacion de RF-002430577. Se requiere una segunda subida o revision manual.",21:51:42,21:51:53
RF-002426835,"No fue posible realizar la navegacion de RF-002426835. Se requiere una segunda subida o revision manual.",21:54:20,21:54:21
RF-002442366,"No fue posible realizar la navegacion de RF-002442366. Se requiere una segunda subida o revision manual.",22:05:40,22:05:41
